Foto Original A,Foto Original B,Similaridade,Threshold,O Modelo Achou Igual?
joaosorrindoescuro.jpg,mateussorrindoclaro.jpg,-0.0006,0.45,👎 NÃO
joaosorrindoescuro.jpg,paulistaserioclaro.jpg,0.0755,0.45,👎 NÃO
joaosorrindoescuro.jpg,paulistaserioescuro.jpg,0.1777,0.45,👎 NÃO
joaosorrindoescuro.jpg,paulistasorrindoclaro.jpg,0.0988,0.45,👎 NÃO
joaosorrindoescuro.jpg,pauloserioclaro.jpg,0.0906,0.45,👎 NÃO
joaosorrindoescuro.jpg,pauloserioescuro.jpg,0.0680,0.45,👎 NÃO
joaosorrindoescuro.jpg,paulosorrindoclaro.jpg,0.0701,0.45,👎 NÃO
jonesserio.jpg,jonesserioescuro.jpg,0.7419,0.45,👍 SIM
jonesserio.jpg,jonessorrindo.jpg,0.7441,0.45,👍 SIM
jonesserio.jpg,lucasserioclaro.jpg,0.0912,0.45,👎 NÃO
jonesserio.jpg,lucasserioescuro.jpg,0.0596,0.45,👎 NÃO
jonesserio.jpg,lucassorrindoclaro.jpg,0.1503,0.45,👎 NÃO
jonesserio.jpg,mateusserioescuro.JPG,0.1084,0.45,👎 NÃO
jonesserio.jpg,mateussorrindoclaro.jpg,0.0449,0.45,👎 NÃO
jonesserio.jpg,paulistaserioclaro.jpg,-0.0385,0.45,👎 NÃO
jonesserio.jpg,paulistaserioescuro.jpg,0.0182,0.45,👎 NÃO
jonesserio.jpg,paulistasorrindoclaro.jpg,-0.0640,0.45,👎 NÃO
jonesserio.jpg,pauloserioclaro.jpg,-0.0005,0.45,👎 NÃO
jonesserio.jpg,pauloserioescuro.jpg,0.0153,0.45,👎 NÃO
jonesserio.jpg,paulosorrindoclaro.jpg,0.0341,0.45,👎 NÃO
jonesserioescuro.jpg,jonessorrindo.jpg,0.6727,0.45,👍 SIM
jonesserioescuro.jpg,lucasserioclaro.jpg,0.0774,0.45,👎 NÃO
jonesserioescuro.jpg,lucasserioescuro.jpg,0.0844,0.45,👎 NÃO
jonesserioescuro.jpg,lucassorrindoclaro.jpg,0.1565,0.45,👎 NÃO
jonesserioescuro.jpg,mateusserioescuro.JPG,0.0907,0.45,👎 NÃO
jonesserioescuro.jpg,mateussorrindoclaro.jpg,0.1089,0.45,👎 NÃO
jonesserioescuro.jpg,paulistaserioclaro.jpg,-0.0381,0.45,👎 NÃO
jonesserioescuro.jpg,paulistaserioescuro.jpg,0.0134,0.45,👎 NÃO
jonesserioescuro.jpg,paulistasorrindoclaro.jpg,-0.0461,0.45,👎 NÃO
jonesserioescuro.jpg,pauloserioclaro.jpg,0.0373,0.45,👎 NÃO
jonesserioescuro.jpg,pauloserioescuro.jpg,0.0328,0.45,👎 NÃO
jonesserioescuro.jpg,paulosorrindoclaro.jpg,0.0349,0.45,👎 NÃO
jonessorrindo.jpg,lucasserioclaro.jpg,0.0476,0.45,👎 NÃO
jonessorrindo.jpg,lucasserioescuro.jpg,0.0301,0.45,👎 NÃO
jonessorrindo.jpg,lucassorrindoclaro.jpg,0.1322,0.45,👎 NÃO
jonessorrindo.jpg,mateusserioescuro.JPG,0.0663,0.45,👎 NÃO
jonessorrindo.jpg,mateussorrindoclaro.jpg,0.0792,0.45,👎 NÃO
jonessorrindo.jpg,paulistaserioclaro.jpg,-0.0531,0.45,👎 NÃO
jonessorrindo.jpg,paulistaserioescuro.jpg,0.0031,0.45,👎 NÃO
jonessorrindo.jpg,paulistasorrindoclaro.jpg,-0.0490,0.45,👎 NÃO
jonessorrindo.jpg,pauloserioclaro.jpg,0.0171,0.45,👎 NÃO
jonessorrindo.jpg,pauloserioescuro.jpg,-0.0191,0.45,👎 NÃO
jonessorrindo.jpg,paulosorrindoclaro.jpg,0.0277,0.45,👎 NÃO
lucasserioclaro.jpg,lucasserioescuro.jpg,0.8244,0.45,👍 SIM
lucasserioclaro.jpg,lucassorrindoclaro.jpg,0.8695,0.45,👍 SIM
lucasserioclaro.jpg,mateusserioescuro.JPG,0.1420,0.45,👎 NÃO
lucasserioclaro.jpg,mateussorrindoclaro.jpg,0.0168,0.45,👎 NÃO
