LOG DE RESULTADOS POR FRAME
============================================================
Frame | Sim. Cosseno | Posição X | Posição Y | Área Relativa
0103  | 0.2524       | 0.5035    | 0.6855    | 0.1018
0104  | 0.3093       | 0.5061    | 0.6899    | 0.1117
0105  | 0.3593       | 0.5043    | 0.6714    | 0.1151
0106  | 0.4193       | 0.5035    | 0.6489    | 0.1138
0107  | 0.5856       | 0.5026    | 0.6348    | 0.1195
0108  | 0.6379       | 0.5009    | 0.6162    | 0.1244
0109  | 0.6512       | 0.5009    | 0.6021    | 0.1273
0110  | 0.6872       | 0.5017    | 0.5889    | 0.1332
0111  | 0.7362       | 0.5000    | 0.5747    | 0.1317
0112  | 0.7660       | 0.5017    | 0.5635    | 0.1318
0113  | 0.7865       | 0.5035    | 0.5537    | 0.1326
0114  | 0.8116       | 0.5052    | 0.5454    | 0.1311
0115  | 0.8387       | 0.5069    | 0.5376    | 0.1316
0116  | 0.8455       | 0.5069    | 0.5327    | 0.1289
0117  | 0.8494       | 0.5069    | 0.5303    | 0.1277
0118  | 0.8419       | 0.5095    | 0.5254    | 0.1264
0119  | 0.8530       | 0.5095    | 0.5254    | 0.1245
0120  | 0.8526       | 0.5087    | 0.5249    | 0.1236
0121  | 0.8371       | 0.5087    | 0.5244    | 0.1222
0122  | 0.8463       | 0.5095    | 0.5244    | 0.1219
0123  | 0.8506       | 0.5104    | 0.5244    | 0.1206
0124  | 0.8516       | 0.5139    | 0.5254    | 0.1206
0125  | 0.8208       | 0.5148    | 0.5259    | 0.1197
0126  | 0.7058       | 0.5156    | 0.5288    | 0.1202
0127  | 0.6139       | 0.5217    | 0.5293    | 0.1204
0128  | 0.4800       | 0.5312    | 0.5288    | 0.1194
0129  | 0.4269       | 0.5425    | 0.5288    | 0.1163
0130  | 0.2561       | 0.5564    | 0.5254    | 0.1137
0131  | 0.1845       | 0.5660    | 0.5215    | 0.1112
0132  | 0.1875       | 0.5799    | 0.5176    | 0.1077
0133  | 0.1731       | 0.6042    | 0.5181    | 0.1051
0134  | 0.1979       | 0.6189    | 0.5166    | 0.1050
0135  | 0.1985       | 0.6285    | 0.5127    | 0.1089
0136  | 0.1641       | 0.6389    | 0.5132    | 0.1058
0137  | 0.1527       | 0.6458    | 0.5132    | 0.1058
0138  | 0.1471       | 0.6528    | 0.5166    | 0.1040
0139  | 0.1303       | 0.6562    | 0.5161    | 0.1039
0140  | 0.1323       | 0.6589    | 0.5171    | 0.1034
0141  | 0.1505       | 0.6632    | 0.5186    | 0.1033
0142  | 0.1259       | 0.6675    | 0.5234    | 0.1037
0143  | 0.1132       | 0.6710    | 0.5269    | 0.1020
0144  | 0.1191       | 0.6736    | 0.5283    | 0.1025
0145  | 0.1072       | 0.6745    | 0.5312    | 0.1013
0146  | 0.1206       | 0.6771    | 0.5317    | 0.1012
0147  | 0.1181       | 0.6797    | 0.5332    | 0.0994
0148  | 0.1465       | 0.6823    | 0.5327    | 0.1000
0149  | 0.1400       | 0.6814    | 0.5352    | 0.1001
0150  | 0.1508       | 0.6814    | 0.5352    | 0.1001
0151  | 0.1484       | 0.6806    | 0.5352    | 0.0996
0152  | 0.1547       | 0.6797    | 0.5352    | 0.1008
0153  | 0.1599       | 0.6788    | 0.5352    | 0.1013
0154  | 0.1477       | 0.6771    | 0.5361    | 0.1006
0155  | 0.1450       | 0.6771    | 0.5366    | 0.1009
0156  | 0.1342       | 0.6762    | 0.5371    | 0.1011
0157  | 0.1179       | 0.6753    | 0.5376    | 0.1012
0158  | 0.1022       | 0.6710    | 0.5391    | 0.1006
0159  | 0.0835       | 0.6693    | 0.5391    | 0.1006
0160  | 0.0985       | 0.6658    | 0.5391    | 0.1006
0161  | 0.0765       | 0.6623    | 0.5400    | 0.1009
0162  | 0.0733       | 0.6615    | 0.5420    | 0.1006
0163  | 0.0793       | 0.6589    | 0.5410    | 0.1018
0164  | 0.0892       | 0.6562    | 0.5415    | 0.1020
0165  | 0.0850       | 0.6519    | 0.5410    | 0.1028
0166  | 0.0887       | 0.6458    | 0.5415    | 0.1039
0167  | 0.1049       | 0.6354    | 0.5420    | 0.1042
0168  | 0.1592       | 0.6207    | 0.5420    | 0.1072
0169  | 0.1731       | 0.6016    | 0.5396    | 0.1085
0170  | 0.1668       | 0.5755    | 0.5420    | 0.1074
0171  | 0.2287       | 0.5590    | 0.5415    | 0.1100
0172  | 0.3712       | 0.5382    | 0.5430    | 0.1157
0173  | 0.4597       | 0.5200    | 0.5420    | 0.1196
0174  | 0.5600       | 0.5095    | 0.5420    | 0.1149
0175  | 0.6509       | 0.4957    | 0.5405    | 0.1186
0176  | 0.7240       | 0.4878    | 0.5400    | 0.1177
0177  | 0.7732       | 0.4818    | 0.5400    | 0.1164
0178  | 0.8069       | 0.4766    | 0.5400    | 0.1157
0179  | 0.7910       | 0.4722    | 0.5400    | 0.1152
0180  | 0.7689       | 0.4679    | 0.5405    | 0.1153
0181  | 0.7442       | 0.4661    | 0.5410    | 0.1149
0182  | 0.7504       | 0.4644    | 0.5415    | 0.1146
0183  | 0.7527       | 0.4635    | 0.5415    | 0.1181
0184  | 0.7557       | 0.4635    | 0.5420    | 0.1177
0185  | 0.7641       | 0.4635    | 0.5430    | 0.1177
0186  | 0.7687       | 0.4661    | 0.5439    | 0.1175
0187  | 0.7757       | 0.4679    | 0.5449    | 0.1175
0188  | 0.7805       | 0.4688    | 0.5454    | 0.1166
0189  | 0.7845       | 0.4705    | 0.5459    | 0.1170
0190  | 0.7698       | 0.4722    | 0.5464    | 0.1166
0191  | 0.7643       | 0.4722    | 0.5474    | 0.1166
0192  | 0.7598       | 0.4722    | 0.5479    | 0.1170
0193  | 0.7615       | 0.4705    | 0.5483    | 0.1166
0194  | 0.6865       | 0.4679    | 0.5493    | 0.1153
0195  | 0.6439       | 0.4618    | 0.5498    | 0.1155
0196  | 0.5069       | 0.4531    | 0.5508    | 0.1157
0197  | 0.3398       | 0.4418    | 0.5527    | 0.1142
0198  | 0.2751       | 0.4288    | 0.5488    | 0.1177
0199  | 0.1811       | 0.4141    | 0.5513    | 0.1153
