frame,x_center,y_center,face_area,similarity
2,0.5145447,0.46582586,0.13701804,0.9856172204017639
3,0.51461726,0.46371222,0.13541195,0.958928644657135
4,0.51712036,0.46117553,0.1300523,0.8942014575004578
5,0.51767915,0.45588452,0.12806031,0.8413515686988831
6,0.51655203,0.44908467,0.12518162,0.6897440552711487
7,0.515434,0.44014454,0.12127762,0.5603789687156677
8,0.51655394,0.4318155,0.115689196,0.46001389622688293
9,0.5155774,0.4278867,0.11123852,0.23880085349082947
10,0.515452,0.422433,0.10320046,0.20433707535266876
11,0.51582694,0.4185065,0.09924867,0.17072339355945587
12,0.51482415,0.41252828,0.094526276,0.1674046516418457
13,0.51564586,0.41050217,0.090286955,0.14346177875995636
14,0.5170525,0.4090894,0.08616985,0.10955704748630524
15,0.51843053,0.40664166,0.081201546,0.11051622778177261
16,0.5179794,0.40466276,0.07696365,0.09873562306165695
17,0.5200293,0.40435642,0.07416715,0.09269227087497711
18,0.52024525,0.40458208,0.07196852,0.041819553822278976
19,0.52107,0.40499222,0.069321424,-0.006595992483198643
20,0.521255,0.40546387,0.06865303,-0.02085667848587036
21,0.521092,0.40632302,0.06663212,-0.039071742445230484
22,0.52161354,0.40669614,0.06407478,-0.08350295573472977
23,0.521892,0.4070455,0.062424272,-0.06512347608804703
24,0.5220251,0.40818325,0.06148368,-0.06161503493785858
25,0.5219413,0.4082534,0.060510878,-0.0551520511507988
26,0.52247405,0.40795422,0.059946578,-0.05588579177856445
27,0.5231579,0.4082257,0.059641592,-0.05921151489019394
28,0.523055,0.40868646,0.05945699,-0.05153350159525871
29,0.52320194,0.40833774,0.05909918,-0.04683612287044525
30,0.52336246,0.40881518,0.059439205,-0.0467621311545372
31,0.5230293,0.40922004,0.060519975,-0.055308349430561066
32,0.52356625,0.4102002,0.06086627,-0.0446196123957634
33,0.5236545,0.4107204,0.06123307,-0.04840350151062012
34,0.5240732,0.41102558,0.061740413,-0.04461396485567093
35,0.5241016,0.4123964,0.06289508,-0.03761819377541542
36,0.52424854,0.4137191,0.06412494,-0.03943679854273796
37,0.52506965,0.41647583,0.06636372,-0.018411600962281227
38,0.52559954,0.41901714,0.06918888,-0.0119200823828578
39,0.52574915,0.41978875,0.07150591,0.017336348071694374
40,0.5249612,0.42228723,0.074783534,0.03968672454357147
41,0.52434707,0.42598432,0.07951249,0.09038924425840378
42,0.5237174,0.4298609,0.0850928,0.10500924289226532
43,0.5232921,0.43307778,0.089029685,0.12205322086811066
44,0.522495,0.43789715,0.0932001,0.17381121218204498
45,0.5225895,0.44475108,0.09872564,0.2491483986377716
46,0.5223672,0.44827896,0.10087778,0.3562347888946533
47,0.52074474,0.45412865,0.110439576,0.5813857316970825
48,0.5204787,0.46148425,0.11261188,0.5986422896385193
49,0.52094924,0.4665653,0.1120227,0.619377076625824
50,0.51962876,0.47473595,0.11583389,0.5995048880577087
51,0.5193238,0.47907633,0.11474318,0.6201229691505432
52,0.51790404,0.48112476,0.12031133,0.7205262780189514
53,0.5182015,0.4867767,0.1159929,0.7200425267219543
54,0.5179679,0.49157792,0.11664203,0.717536985874176
55,0.5170192,0.494758,0.12120304,0.7711116075515747
56,0.5166975,0.4974072,0.120722584,0.8125695586204529
57,0.5149331,0.50219434,0.118070066,0.7614520192146301
58,0.51467925,0.5040517,0.11841639,0.7898876070976257
59,0.51672465,0.5028407,0.11929455,0.8421258330345154
60,0.51653886,0.5048574,0.11815563,0.8331090211868286
61,0.51677716,0.50688255,0.1170729,0.8248528838157654
62,0.5172848,0.5111384,0.11806016,0.8305038809776306
63,0.5174996,0.5156722,0.11870349,0.8353437185287476
64,0.5176828,0.51971215,0.121436514,0.8578068017959595
65,0.5180134,0.5268566,0.11985758,0.8483620882034302
66,0.51836026,0.5378255,0.119226135,0.8430359959602356
67,0.5187347,0.5447024,0.119269945,0.7930874228477478
68,0.51979446,0.55716974,0.1132788,0.7694851160049438
69,0.5200597,0.56452906,0.11302256,0.6998565793037415
70,0.5207614,0.5745315,0.1109017,0.6703306436538696
71,0.5207154,0.58318204,0.11017608,0.6493465304374695
72,0.5197029,0.59171474,0.1094981,0.6722130179405212
73,0.51957345,0.60121775,0.10567449,0.6309368014335632
74,0.5192723,0.6092762,0.105863914,0.6265966296195984
75,0.519612,0.6170627,0.105986066,0.5715013742446899
76,0.5207353,0.62979674,0.097673945,0.4503398537635803
77,0.52063674,0.6362749,0.09662879,0.39066141843795776
78,0.5235584,0.6450343,0.09564476,0.3520248234272003
79,0.5239871,0.6552466,0.09787259,0.36270758509635925
80,0.5233196,0.66419697,0.09475554,0.31400996446609497
81,0.5239594,0.66819763,0.092293076,0.3036223351955414
82,0.52431154,0.67237556,0.085211724,0.23479413986206055
83,0.5232727,0.66953737,0.08498808,0.2422144114971161
84,0.5220627,0.67766917,0.08353796,0.23841191828250885
85,0.5213769,0.6827779,0.08152126,0.1875959187746048
86,0.51952565,0.68574834,0.07988035,0.16158463060855865
87,0.52075016,0.7008498,0.09123751,0.19651000201702118
88,0.52068937,0.69845164,0.0945028,0.23199689388275146
89,0.52167326,0.7076303,0.09150965,0.17472895979881287
90,0.52179056,0.7157297,0.08913013,0.14516910910606384
91,0.52087647,0.7099581,0.08067829,0.12751750648021698
92,0.51998925,0.71908987,0.08703495,0.1602625995874405
93,0.51771253,0.7222219,0.08976245,0.12302245944738388
94,0.51774186,0.72277373,0.09017661,0.1291947215795517
95,0.5162046,0.7186159,0.0872346,0.13595527410507202
96,0.5131147,0.7206545,0.092116736,0.13150286674499512
97,0.5101881,0.7125608,0.089873195,0.12028323113918304
98,0.51000774,0.7121981,0.09229203,0.14043091237545013
99,0.5071807,0.7108698,0.09516597,0.16946056485176086
100,0.50720704,0.71002054,0.09836852,0.18472398817539215
101,0.50420296,0.7048855,0.09540506,0.17937086522579193
102,0.5040572,0.6961118,0.100507416,0.18369056284427643
103,0.5040853,0.68626547,0.1014801,0.25243526697158813
104,0.50651467,0.69044787,0.11205747,0.30929145216941833
105,0.5050905,0.6719198,0.11524369,0.35933050513267517
106,0.50431466,0.64955735,0.114011124,0.41926664113998413
107,0.5033696,0.6351557,0.11916983,0.5856307744979858
108,0.5015882,0.6162208,0.12463707,0.6379379630088806
109,0.5018955,0.60254574,0.12703538,0.651175320148468
110,0.5025392,0.5892885,0.13242549,0.6871595978736877
111,0.5016689,0.5753108,0.13197263,0.7361615300178528
112,0.5028038,0.5638974,0.13207604,0.7659687399864197
113,0.50396794,0.55434155,0.13251251,0.7865374684333801
114,0.5060389,0.5457995,0.13109718,0.8116170167922974
115,0.50701684,0.53830755,0.13182111,0.8386871218681335
116,0.50786984,0.5333899,0.12947871,0.845533549785614
117,0.5082811,0.5307376,0.12728955,0.8494048714637756
118,0.5102708,0.52593815,0.12647118,0.8418911695480347
119,0.51057035,0.5255566,0.12483843,0.8530002236366272
120,0.51010716,0.52527374,0.12353307,0.8525844216346741
121,0.50950974,0.52482337,0.1223159,0.8371466398239136
122,0.51030225,0.5250044,0.12170055,0.846349835395813
123,0.51153874,0.5250537,0.12091329,0.8505716919898987
124,0.51441705,0.5258358,0.121139236,0.8515713810920715
125,0.51635563,0.5264023,0.12002002,0.8207558989524841
126,0.51709527,0.529284,0.12008353,0.705788791179657
127,0.52273476,0.52959436,0.12025474,0.6138899326324463
128,0.5326383,0.5290414,0.1192724,0.48002299666404724
129,0.54365486,0.529147,0.11624247,0.4269014894962311
130,0.55745125,0.5262201,0.114055395,0.25610867142677307
131,0.5667023,0.52207404,0.11124383,0.1844860166311264
132,0.58009744,0.51786244,0.107458174,0.18751870095729828
133,0.6050234,0.5185186,0.10518572,0.17307595908641815
134,0.61972225,0.51691765,0.10446359,0.1978769451379776
135,0.6291139,0.51316464,0.10902037,0.19852370023727417
136,0.63916194,0.5136154,0.1059122,0.16405056416988373
137,0.6463038,0.5135722,0.10584907,0.15270565450191498
138,0.65368706,0.5168282,0.103721224,0.1471140831708908
139,0.65701985,0.5164462,0.10393188,0.13026978075504303
140,0.6600101,0.5174615,0.10346425,0.1322626769542694
141,0.664312,0.5190562,0.1034576,0.15052103996276855
142,0.6686848,0.5240575,0.103692584,0.12585414946079254
143,0.67205477,0.52781355,0.101757735,0.11316696554422379
144,0.6739243,0.5288358,0.1023412,0.11912329494953156
145,0.6754028,0.53187126,0.101423234,0.10719798505306244
