frame_id,mode,file,face_detected,similarity,match_030,match_035,match_040,match_045,match_050,match_055,match_060
340,ATAQUE,frame_000340_ATAQUE.jpg,1,0.067823,0,0,0,0,0,0,0
345,ATAQUE,frame_000345_ATAQUE.jpg,1,0.116537,0,0,0,0,0,0,0
350,ATAQUE,frame_000350_ATAQUE.jpg,1,0.105622,0,0,0,0,0,0,0
355,ATAQUE,frame_000355_ATAQUE.jpg,1,0.105455,0,0,0,0,0,0,0
360,ATAQUE,frame_000360_ATAQUE.jpg,1,0.082565,0,0,0,0,0,0,0
365,ATAQUE,frame_000365_ATAQUE.jpg,1,0.093802,0,0,0,0,0,0,0
370,ATAQUE,frame_000370_ATAQUE.jpg,1,-0.033879,0,0,0,0,0,0,0
375,ATAQUE,frame_000375_ATAQUE.jpg,1,0.013538,0,0,0,0,0,0,0
380,ATAQUE,frame_000380_ATAQUE.jpg,1,0.109055,0,0,0,0,0,0,0
385,ATAQUE,frame_000385_ATAQUE.jpg,1,0.102744,0,0,0,0,0,0,0
390,ATAQUE,frame_000390_ATAQUE.jpg,1,0.127534,0,0,0,0,0,0,0
395,ATAQUE,frame_000395_ATAQUE.jpg,1,0.077354,0,0,0,0,0,0,0
400,ATAQUE,frame_000400_ATAQUE.jpg,1,0.321513,1,0,0,0,0,0,0
405,ATAQUE,frame_000405_ATAQUE.jpg,1,0.561211,1,1,1,1,1,1,0
410,ATAQUE,frame_000410_ATAQUE.jpg,1,0.509788,1,1,1,1,1,0,0
415,ATAQUE,frame_000415_ATAQUE.jpg,1,0.488744,1,1,1,1,0,0,0
420,ATAQUE,frame_000420_ATAQUE.jpg,1,0.532215,1,1,1,1,1,0,0
425,ATAQUE,frame_000425_ATAQUE.jpg,1,0.541735,1,1,1,1,1,0,0
430,ATAQUE,frame_000430_ATAQUE.jpg,1,0.570508,1,1,1,1,1,1,0
435,ATAQUE,frame_000435_ATAQUE.jpg,1,0.585459,1,1,1,1,1,1,0
440,ATAQUE,frame_000440_ATAQUE.jpg,1,0.600605,1,1,1,1,1,1,1
445,ATAQUE,frame_000445_ATAQUE.jpg,1,0.600046,1,1,1,1,1,1,1
450,ATAQUE,frame_000450_ATAQUE.jpg,1,0.577491,1,1,1,1,1,1,0
455,ATAQUE,frame_000455_ATAQUE.jpg,1,0.616768,1,1,1,1,1,1,1
460,ATAQUE,frame_000460_ATAQUE.jpg,1,0.626866,1,1,1,1,1,1,1
465,ATAQUE,frame_000465_ATAQUE.jpg,1,0.666153,1,1,1,1,1,1,1
470,ATAQUE,frame_000470_ATAQUE.jpg,1,0.605182,1,1,1,1,1,1,1
475,ATAQUE,frame_000475_ATAQUE.jpg,1,0.575217,1,1,1,1,1,1,0
480,ATAQUE,frame_000480_ATAQUE.jpg,1,0.566494,1,1,1,1,1,1,0
485,ATAQUE,frame_000485_ATAQUE.jpg,1,0.606164,1,1,1,1,1,1,1
490,ATAQUE,frame_000490_ATAQUE.jpg,1,0.622792,1,1,1,1,1,1,1
495,ATAQUE,frame_000495_ATAQUE.jpg,1,0.626105,1,1,1,1,1,1,1
500,ATAQUE,frame_000500_ATAQUE.jpg,1,0.611586,1,1,1,1,1,1,1
505,ATAQUE,frame_000505_ATAQUE.jpg,1,0.597892,1,1,1,1,1,1,0
510,ATAQUE,frame_000510_ATAQUE.jpg,1,0.610037,1,1,1,1,1,1,1
515,ATAQUE,frame_000515_ATAQUE.jpg,1,0.644918,1,1,1,1,1,1,1
520,ATAQUE,frame_000520_ATAQUE.jpg,1,0.623259,1,1,1,1,1,1,1
525,ATAQUE,frame_000525_ATAQUE.jpg,1,0.623899,1,1,1,1,1,1,1
530,ATAQUE,frame_000530_ATAQUE.jpg,1,0.640815,1,1,1,1,1,1,1
535,ATAQUE,frame_000535_ATAQUE.jpg,1,0.675809,1,1,1,1,1,1,1
540,ATAQUE,frame_000540_ATAQUE.jpg,1,0.655131,1,1,1,1,1,1,1
545,ATAQUE,frame_000545_ATAQUE.jpg,1,0.656995,1,1,1,1,1,1,1
550,ATAQUE,frame_000550_ATAQUE.jpg,1,0.643010,1,1,1,1,1,1,1
555,ATAQUE,frame_000555_ATAQUE.jpg,1,0.630330,1,1,1,1,1,1,1
