frame,mode,similarity,match_045,match_060,elapsed_s,fps,frame_saved
114,ATAQUE,0.000000,0,0,7.20,19.1,0
115,ATAQUE,0.000000,0,0,7.25,19.1,1
116,ATAQUE,0.000000,0,0,7.30,19.1,0
117,ATAQUE,0.000000,0,0,7.35,19.1,0
118,ATAQUE,0.000000,0,0,7.40,19.1,0
119,ATAQUE,0.000000,0,0,7.45,19.1,0
120,ATAQUE,0.000000,0,0,7.51,19.4,1
121,ATAQUE,0.000000,0,0,7.56,19.4,0
122,ATAQUE,0.000000,0,0,7.61,19.4,0
123,ATAQUE,0.000000,0,0,7.66,19.4,0
124,ATAQUE,0.000000,0,0,7.71,19.4,0
125,ATAQUE,0.000000,0,0,7.76,19.4,1
126,ATAQUE,0.000000,0,0,7.82,19.4,0
127,ATAQUE,0.000000,0,0,7.87,19.4,0
128,ATAQUE,0.000000,0,0,7.92,19.4,0
129,ATAQUE,0.000000,0,0,7.98,19.4,0
130,ATAQUE,0.000000,0,0,8.03,19.0,1
131,ATAQUE,0.000000,0,0,8.09,19.0,0
132,ATAQUE,0.000000,0,0,8.14,19.0,0
133,ATAQUE,0.000000,0,0,8.17,19.0,0
134,ATAQUE,0.000000,0,0,8.22,19.0,0
135,ATAQUE,0.000000,0,0,8.27,19.0,1
136,ATAQUE,0.000000,0,0,8.33,19.0,0
137,ATAQUE,0.000000,0,0,8.38,19.0,0
138,ATAQUE,0.000000,0,0,8.43,19.0,0
139,ATAQUE,0.000000,0,0,8.48,19.0,0
140,ATAQUE,0.000000,0,0,8.54,19.9,1
141,ATAQUE,0.000000,0,0,8.59,19.9,0
142,ATAQUE,0.000000,0,0,8.65,19.9,0
143,ATAQUE,0.000000,0,0,8.70,19.9,0
144,ATAQUE,0.000000,0,0,8.73,19.9,0
145,ATAQUE,0.000000,0,0,8.78,19.9,1
146,ATAQUE,0.000000,0,0,8.84,19.9,0
147,ATAQUE,0.000000,0,0,8.89,19.9,0
148,ATAQUE,0.000000,0,0,8.92,19.9,0
149,ATAQUE,0.000000,0,0,8.98,19.9,0
150,ATAQUE,0.000000,0,0,9.03,20.3,1
151,ATAQUE,0.000000,0,0,9.08,20.3,0
152,ATAQUE,0.000000,0,0,9.13,20.3,0
153,ATAQUE,0.000000,0,0,9.19,20.3,0
154,ATAQUE,0.000000,0,0,9.24,20.3,0
155,ATAQUE,0.000000,0,0,9.29,20.3,1
156,ATAQUE,0.000000,0,0,9.35,20.3,0
157,ATAQUE,0.000000,0,0,9.40,20.3,0
158,ATAQUE,0.000000,0,0,9.43,20.3,0
159,ATAQUE,0.000000,0,0,9.48,20.3,0
160,ATAQUE,0.000000,0,0,9.54,19.7,1
